,Gridcell,LaunchZone,TrackNumber,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-21 09:20:00,19.0,4.0,99.0,8420214.748303698,8420211.112217836,8420210.678883616,534456.5364650468,534454.4742638835,534456.3937257279,282.72029017667865,-3.107049679027044e-07,4.0719226792522525,-4.069420080631971,-77.27970982332134,-14.28965902325,-14.289691925083332,-14.28969581925,-170.68052800475002,-170.68054707833332,-170.68052927624996,-0.14273931889329106,0.06786537798753754,-3.0109180382028823e-07,6.796601842440353e-08
2014-02-21 09:20:00,11.0,3.0,103.0,8420257.436913146,8420254.488286458,,534575.4093686912,534569.8737242207,,,,,,,-14.289271566555556,-14.28929829608333,,-170.67942640511112,-170.67947769174998,,,,,
2014-02-21 09:21:00,19.0,4.0,99.0,8420211.112217836,8420215.051691005,8420214.748303698,534454.4742638835,534453.2453562509,534456.5364650468,275.22066365960615,-5.326366715743721e-07,4.180166745741454,3.6360858604311934,-84.77933634039378,-14.289691925083332,-14.289656321083337,-14.28965902325,-170.68054707833332,-170.6805585225833,-170.68052800475002,2.062201163265854,0.06966944576235758,-5.161570562927299e-07,4.716167134599658e-08
2014-02-21 09:21:00,11.0,3.0,103.0,8420254.488286458,8420250.26881497,8420257.436913146,534569.8737242207,534563.8334991275,534575.4093686912,237.99169521972308,-1.8716091564624008e-06,6.271982066984153,2.9486266877502203,-122.00830478027693,-14.28929829608333,-14.289336522416669,-14.289271566555556,-170.67947769174998,-170.67953364041668,-170.67942640511112,5.535644470597617,0.10453303444973587,-1.8137047215126224e-06,-1.1336940638206894e-06
2014-02-21 09:22:00,11.0,3.0,103.0,8420250.26881497,8420245.135013273,8420254.488286458,534563.8334991275,534557.9291437846,534569.8737242207,231.68224655132343,-1.9307864840348333e-06,7.36805665099267,4.219471488147973,-128.31775344867654,-14.289336522416669,-14.289383014083336,-14.28929829608333,-170.67953364041668,-170.67958831766668,-170.67947769174998,6.040225092903711,0.12280094418321115,-1.8710508155500557e-06,-1.4786084815698874e-06
2014-02-21 09:22:00,19.0,4.0,99.0,8420215.051691005,8420212.670433719,8420211.112217836,534453.2453562509,534452.6934886739,534454.4742638835,311.28690810485256,-2.8851310701468594e-07,4.1267012029271255,-3.939473168924451,-48.71309189514746,-14.289656321083337,-14.289677858416665,-14.289691925083332,-170.6805585225833,-170.68056360891669,-170.68054707833332,1.2289076326414945,0.06877835338211874,-2.795865731898654e-07,2.4550963814706783e-07
2014-02-21 09:23:00,19.0,4.0,99.0,8420212.670433719,8420215.769994082,8420215.051691005,534452.6934886739,534455.0292646168,534453.2453562509,67.86274217817679,2.885131060225811e-07,2.444369875058657,2.3812572862952948,67.86274217817679,-14.289677858416665,-14.289649804249999,-14.289656321083337,-170.68056360891669,-170.680541992,-170.6805585225833,0.551867577014491,0.040739497917644286,2.7958660709653513e-07,1.137401885731304e-07
2014-02-21 09:23:00,23.0,5.0,106.0,8420093.83182513,8420097.9080713,,534739.5747255484,534723.2601022421,,,,,,,-14.290748769454545,-14.290712118166669,,-170.67790222172727,-170.6780535380833,,,,,
2014-02-21 09:23:00,13.0,3.0,103.0,8420245.135013273,8420243.406680685,8420250.26881497,534557.9291437846,534555.5952627065,534563.8334991275,229.94995352657523,-1.3315814999405056e-06,7.824150553321968,5.133801696822046,-130.05004647342477,-14.289383014083336,-14.289398670166664,-14.289336522416669,-170.67958831766668,-170.6796099344167,-170.67953364041668,5.904355343198403,0.1304025092220328,-1.2903842546236219e-06,-1.0846830721666922e-06
2014-02-21 09:24:00,17.0,3.0,103.0,8420243.406680685,8420239.571550442,8420245.135013273,534555.5952627065,534557.6471688072,534557.9291437846,182.80465178660157,-4.438663112341353e-08,2.904158126155015,1.7283325884491203,-177.1953482133985,-14.289398670166664,-14.289433320416665,-14.289383014083336,-170.6796099344167,-170.67959086083331,-170.67958831766668,2.3338810778222983,0.04840263543591692,-4.301336500820312e-08,-8.780111514783416e-07
