,Gridcell,LaunchZone,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-16 16:57:00,30.0,0.0,8419958.85950775,8419959.926829988,8419951.146242475,534777.5135527741,534768.4635404475,534780.9314666128,305.2458454036137,-2.019561201203374e-06,8.436622322983569,-7.713265275582671,-54.75415459638624,-14.291968663500002,-14.291959126833332,-14.292038361083335,-170.67754872658335,-170.67763264958333,-170.67751693725003,3.4179138387553394,0.14061037204972615,-1.957056560837161e-06,1.3828980550412147e-06
2014-02-16 16:57:00,43.0,2.0,8419835.80270917,8419840.747793159,8419831.374316147,534753.3424352143,534743.2006658978,534764.8563745384,293.45706641533087,-3.5064973657416213e-06,12.336185127748328,-4.4283930212259275,-66.54293358466913,-14.2930816015,-14.293037017166665,-14.293121496833336,-170.67777125049997,-170.6778653463333,-170.67766443883338,11.51393932395149,0.20560308546247213,-3.3979563391247544e-06,1.4744468636307406e-06
2014-02-16 16:58:00,43.0,2.0,8419840.747793159,8419842.311949976,8419835.80270917,534743.2006658978,534737.1685352897,534753.3424352143,291.9680510611417,-2.61877054907074e-06,11.283144088786376,-4.945083988830447,-68.03194893885829,-14.293037017166665,-14.29302295033333,-14.2930816015,-170.6778653463333,-170.67792129499998,-170.67777125049997,10.141769316629508,0.18805240147977287,-2.5377086067311385e-06,1.0236551481468405e-06
2014-02-16 16:58:00,18.0,0.0,8420224.790921373,8420222.61436064,8420225.514867663,534548.7122898282,534552.6864986137,534546.3817770676,114.76309051734108,1.0208808953147874e-06,2.4403663575654058,0.7239462900906801,114.76309051734108,-14.289567072999995,-14.289586703083332,-14.289560556416669,-170.67967351258332,-170.67963663733337,-170.67969512950003,-2.3305127607891336,0.040672772626090106,9.892954596425655e-07,-4.5634554632356656e-07
2014-02-16 16:58:00,23.0,5.0,8420073.270376319,8420074.763797432,8420069.962794693,534729.8089012785,534724.0508820236,534731.7243425519,302.1157538188595,-1.2428082362055211e-06,3.822173659522969,-3.307581625878811,-57.88424618114051,-14.290934801083337,-14.290921370333335,-14.290964683,-170.67799250283332,-170.6780459085834,-170.67797470091668,1.915441273362376,0.0637028943253828,-1.204349357271974e-06,7.559484563879337e-07
2014-02-16 16:58:00,30.0,0.0,8419959.926829988,8419962.411593089,8419958.85950775,534768.4635404475,534764.0783357196,534777.5135527741,284.8188876048212,-2.174914411871505e-06,9.112732843087779,-1.067322237417102,-75.18111239517877,-14.291959126833332,-14.291936715583331,-14.291968663500002,-170.67763264958333,-170.67767333999996,-170.67754872658335,9.050012326566502,0.15187888071812966,-2.107601859554982e-06,5.575957692238731e-07
2014-02-16 16:59:00,24.0,5.0,8420074.763797432,8420076.522272814,8420073.270376319,534724.0508820236,534717.3332017063,534729.8089012785,284.61809219011417,-2.01956556646457e-06,5.948536993313294,-1.493421113118529,-75.38190780988585,-14.290921370333335,-14.290905555083333,-14.290934801083337,-170.6780459085834,-170.67810821541667,-170.67799250283332,5.758019254892132,0.0991422832218882,-1.957069958260576e-06,5.104385053245064e-07
2014-02-16 16:59:00,43.0,2.0,8419842.311949976,8419843.869939739,8419840.747793159,534737.1685352897,534729.2163377954,534743.2006658978,282.5825835683575,-2.2636862226689847e-06,6.231627895038674,-1.5641568172723057,-77.41741643164251,-14.29302295033333,-14.293008963333335,-14.293037017166665,-170.67792129499998,-170.677995046,-170.6778653463333,6.032130608102308,0.10386046491731124,-2.193615767338329e-06,4.896311463498113e-07
2014-02-16 16:59:00,18.0,0.0,8420222.61436064,8420223.07739307,8420224.790921373,534552.6864986137,534554.7443176218,534548.7122898282,105.87412925172224,9.76488444504516e-07,4.531197644765103,2.1765607334673405,105.87412925172222,-14.289586703083332,-14.289582490833334,-14.289567072999995,-170.67963663733337,-170.67961756391668,-170.67967351258332,-3.974208785337397,0.07551996074608508,9.462765020527449e-07,-2.6909206932157476e-07
2014-02-16 16:59:00,30.0,0.0,8419962.411593089,8419972.251412595,8419959.926829988,534764.0783357196,534761.0748343582,534768.4635404475,329.1367360856713,-1.1984259678630416e-06,5.040244852407251,-2.4847631007432938,-30.86326391432871,-14.291936715583331,-14.29184778525,-14.291959126833332,-170.67767333999996,-170.67770131433338,-170.67763264958333,4.385204727877863,0.08400408087345418,-1.1613357212223805e-06,1.9432770517469056e-06
2014-02-16 17:00:00,24.0,5.0,8420076.522272814,8420077.02010908,8420074.763797432,534717.3332017063,534706.9358266252,534724.0508820236,277.47713126244486,-2.7700891402918875e-06,6.9440236545384515,-1.7584753818809986,-82.52286873755516,-14.290905555083333,-14.290901184181818,-14.290921370333335,-170.67810821541667,-170.67820462299997,-170.6780459085834,6.717680317349732,0.11573372757564085,-2.6843685758635125e-06,3.5231388950673903e-07
2014-02-16 17:00:00,18.0,0.0,8420223.07739307,8420221.05236102,8420222.61436064,534554.7443176218,534557.2101818321,534552.6864986137,109.08180499237714,7.32373606498802e-07,2.109269565864596,-0.4630324300378561,109.08180499237714,-14.289582490833334,-14.289600769666665,-14.289586703083332,-170.67961756391668,-170.67959467541667,-170.67963663733337,-2.057819008128717,0.035154492764409934,7.097143669649962e-07,-2.4550825786229247e-07
2014-02-16 17:00:00,42.0,2.0,8419843.869939739,8419846.407039735,8419842.311949976,534729.2163377954,534718.7969110508,534737.1685352897,282.562978275741,-2.9738694227054296e-06,8.103380596443216,-1.5579897630959751,-77.43702172425901,-14.293008963333335,-14.292986154500001,-14.29302295033333,-170.677995046,-170.6780916851667,-170.67792129499998,7.952197494334541,0.1350563432740536,-2.8818161509909413e-06,6.422073847711651e-07
2014-02-16 17:00:00,30.0,0.0,8419972.251412595,8419977.403240165,8419962.411593089,534761.0748343582,534753.9504736746,534764.0783357196,326.04643012576616,-1.6422806501405618e-06,10.288006042765415,-9.83981950581074,-33.953569874233914,-14.29184778525,-14.29180129375,-14.291936715583331,-170.67770131433338,-170.67776743574996,-170.67767333999996,3.0035013615852217,0.17146676737942362,-1.5914538141407247e-06,2.3635565481461285e-06
2014-02-16 17:01:00,30.0,0.0,8419977.403240165,8419980.08307915,8419972.251412595,534753.9504736746,534742.0226076929,534761.0748343582,292.3932266378395,-3.0848301830593427e-06,8.791919156816824,-5.151827570050955,-67.6067733621605,-14.29180129375,-14.291777213333333,-14.29184778525,-170.67776743574996,-170.67787806208338,-170.67770131433338,7.124360683490522,0.14653198594694708,-2.9893582963419583e-06,1.2317111670878678e-06
