,Gridcell,LaunchZone,TrackNumber,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-19 12:17:00,3.0,1.0,59.0,8419996.984079003,8420001.074873896,8419990.89955951,534755.7605187576,534753.160477021,534757.2606822836,338.09856044078066,-6.657892948005123e-07,6.266727061127617,-6.084519492462277,-21.901439559219398,-14.29162422825,-14.291587273416665,-14.291679223416667,-170.67775090558334,-170.67777506508332,-170.6777369181667,1.5001635259250181,0.10444545101879364,-6.451844395633298e-07,1.6048301942073184e-06
2014-02-19 12:18:00,1.0,4.0,64.0,8420211.459416103,8420211.714319656,8420211.617222764,534489.5840035914,534489.5843547437,534489.8585163126,289.5367897142012,-4.438663211551835e-08,0.3166388736406696,0.1578066609799862,-70.46321028579885,-14.28968834875,-14.289686044000002,-14.2896869185,-170.68022155800006,-170.68022155800006,-170.68021901483337,0.274512721109204,0.005277314560677826,-4.3013317645937076e-08,1.5262904051738246e-08
2014-02-19 12:18:00,3.0,2.0,68.0,8419854.866838284,8419861.432104768,8419848.083959265,534747.4717100108,534741.583654334,534751.8509114684,322.52800531472224,-1.664475420375957e-06,8.073713717662981,-6.7828790191560975,-37.47199468527776,-14.292909304333337,-14.2928500175,-14.292970577666663,-170.67782592791662,-170.67788060508337,-170.67778523766663,4.379201457602903,0.13456189529438306,-1.6129541587646569e-06,2.10417152365916e-06
2014-02-19 12:18:00,3.0,1.0,59.0,8420001.074873896,8420004.801129207,8419996.984079003,534753.160477021,534753.5770989055,534755.7605187576,344.40843409252955,-3.550814185425361e-07,4.847145540273053,-4.090794892981648,-15.59156590747052,-14.291587273416665,-14.29155357675,-14.29162422825,-170.67777506508332,-170.67777125025,-170.67775090558334,2.6000417366158217,0.0807857590045509,-3.440924060102941e-07,1.2331012813338038e-06
2014-02-19 12:18:00,1.0,3.0,65.0,8420245.873220982,8420245.863850594,8420245.689587638,534596.1938951833,534596.6053258278,534595.507902106,80.841375691189,1.775465274699686e-07,0.7101462575638043,-0.1836333442479372,80.84137569118903,-14.289375861666665,-14.28937594125,-14.289377530583335,-170.67923355075,-170.679229736,-170.6792399086667,-0.6859930772334337,0.01183577095939674,1.720535068028213e-07,2.7739095909140588e-08
2014-02-19 12:18:00,3.0,5.0,61.0,8420094.745451635,8420095.83727358,8420093.967951136,534741.0845816154,534739.7146351099,534743.9635638014,293.80083255896693,-6.879869758714409e-07,2.9821209654303398,-0.7775004990398884,-66.19916744103308,-14.290740489833336,-14.290730635166664,-14.290747483583331,-170.67788823458332,-170.6779009503334,-170.67786153158332,2.8789821858517826,0.04970201609050567,-6.666976856726837e-07,2.9406028789757954e-07
2014-02-19 12:19:00,1.0,4.0,64.0,8420211.714319656,8420211.881306047,8420211.459416103,534489.5843547437,534489.584584782,534489.5840035914,0.0,0.0,0.2549037949253273,-0.2549035530537367,0.0,-14.289686044000002,-14.289684534166666,-14.28968834875,-170.68022155800006,-170.68022155800006,-170.68022155800006,-0.0003511522663757205,0.004248396582088789,0.0,6.65770387708875e-08
2014-02-19 12:19:00,3.0,5.0,61.0,8420095.83727358,8420098.23165808,8420094.745451635,534739.7146351099,534737.1122622039,534741.0845816154,311.37069890404405,-6.43588706862469e-07,1.7518072342998439,-1.0918219443410635,-48.62930109595593,-14.290730635166664,-14.290709018666668,-14.290740489833336,-170.6779009503334,-170.67792510949997,-170.67788823458332,1.3699465055251494,0.029196787238330732,-6.236733509122377e-07,5.492754282798717e-07
2014-02-19 12:19:00,1.0,3.0,65.0,8420245.863850594,8420243.929981055,8420245.873220982,534596.6053258278,534596.7397924078,534596.1938951833,164.3239425524672,8.877180881326987e-08,0.4115373366672441,0.009370388463139534,164.32394255246714,-14.28937594125,-14.289393424916671,-14.289375861666665,-170.679229736,-170.67922846450003,-170.67923355075,-0.4114306445699185,0.006858955611120736,8.602533680680152e-08,-3.0653654087275944e-07
2014-02-19 12:19:00,3.0,1.0,59.0,8420004.801129207,8420007.62582676,8420001.074873896,534753.5770989055,534751.2495374567,534753.160477021,343.75561552469304,-3.1070351347704237e-07,3.749473621072119,-3.726255310699344,-16.244384475306962,-14.29155357675,-14.29152806608333,-14.291587273416665,-170.67777125025,-170.67779286708333,-170.67777506508332,-0.4166218844475225,0.06249122701786865,-3.010879366004941e-07,1.0333628964187547e-06
2014-02-19 12:19:00,3.0,2.0,68.0,8419861.432104768,8419864.621557886,8419854.866838284,534741.583654334,534736.102357252,534747.4717100108,310.72816065319313,-1.842011766370239e-06,8.818839133612373,-6.5652664843946695,-49.271839346806956,-14.2928500175,-14.292821248416667,-14.292909304333337,-170.67788060508337,-170.6779314674167,-170.67782592791662,5.888055676827206,0.1469806522268729,-1.7849953701639263e-06,1.5368652658553914e-06
2014-02-19 12:20:00,3.0,5.0,61.0,8420098.23165808,8420098.683360577,8420095.83727358,534737.1122622039,534734.6442416138,534739.7146351099,299.3809146890188,-8.211366882620474e-07,3.536300592793625,-2.394384501501918,-60.61908531098123,-14.290709018666668,-14.2907049655,-14.290730635166664,-170.67792510949997,-170.67794799800004,-170.6779009503334,2.6023729059379552,0.058938343213227086,-7.95727261359373e-07,4.480201205581125e-07
2014-02-19 12:20:00,1.0,4.0,64.0,8420211.881306047,8420212.083481424,8420211.714319656,534489.584584782,534489.5848632967,534489.5843547437,0.0,0.0,0.16698655125977035,-0.16698639281094074,0.0,-14.289684534166666,-14.289682706166667,-14.289686044000002,-170.68022155800006,-170.68022155800006,-170.68022155800006,-0.0002300383057445288,0.0027831091876628395,0.0,5.825618157317969e-08
2014-02-19 12:20:00,3.0,1.0,59.0,8420007.62582676,8420012.542272765,8420004.801129207,534751.2495374567,534749.062043947,534753.5770989055,329.8247148095684,-7.323736055066972e-07,3.6601172876824486,-2.824697552248836,-30.175285190431623,-14.29152806608333,-14.291483640833333,-14.29155357675,-170.67779286708333,-170.67781321216663,-170.67777125025,2.3275614487938583,0.061001954794707484,-7.097084252090791e-07,1.2206119471003252e-06
2014-02-19 12:20:00,1.0,3.0,65.0,8420243.929981055,8420242.471090252,8420245.863850594,534596.7397924078,534596.6006375977,534596.6053258278,180.0,0.0,1.9385387936139509,1.9338695388287304,180.0,-14.289393424916671,-14.289406617416669,-14.28937594125,-170.67922846450003,-170.679229736,-170.679229736,-0.13446657999884334,0.03230897989356585,0.0,-5.354001102741979e-07
2014-02-19 12:20:00,3.0,2.0,68.0,8419864.621557886,8419869.712837638,8419861.432104768,534736.102357252,534728.2921825525,534741.583654334,302.00606926483806,-2.152722550983486e-06,6.341705518966763,-3.1894531175494194,-57.99393073516193,-14.292821248416667,-14.292775312916667,-14.2928500175,-170.6779314674167,-170.67800394699998,-170.67788060508337,5.4812970819184565,0.10569509198277936,-2.086089047723796e-06,1.3038403911258543e-06
2014-02-19 12:21:00,1.0,3.0,65.0,8420242.471090252,8420241.46028704,8420243.929981055,534596.6006375977,534596.5992408342,534596.7397924078,183.15809908041885,-2.219186088801853e-08,1.4655123461494075,1.4588908031582832,-176.84190091958115,-14.289406617416669,-14.289415756750007,-14.289393424916671,-170.679229736,-170.679229736,-170.67922846450003,0.13915481010917574,0.0244252057691568,-2.1505274515236312e-08,-3.897640197259023e-07
2014-02-19 12:21:00,3.0,5.0,61.0,8420098.683360577,8420098.450980188,8420098.23165808,534734.6442416138,534731.0781400844,534737.1122622039,272.014770760752,-9.764986269723074e-07,2.5090158983701447,-0.4517024960368872,-87.98522923924801,-14.2907049655,-14.290707111333337,-14.290709018666668,-170.67794799800004,-170.67798105875,-170.67792510949997,2.4680205901386216,0.04181693163950241,-9.462816384366791e-07,3.328913256162025e-08
